"aðferð(ir)?"	"til"
"aðstaðan?"	"til"
"aðstoð"	"til"
"aðstæðu[mr]"	"til"
"aðstöðu"	"til"
"afla(nn)?"	"til"
"afslátt(ur)?"	"til"
"afslættir?"	"til"
"afurða\S+"	"til"
"arð\S+"	"til"
"\S*fjárveiting\S*"	"til"
"áhöld(um)?"	"til"
"\S*gj[aö]ld\S*"	"til"
"átaki?"	"til"
"\S*lán(i|um)?"	"til"
"beiðni"	"til"
"\S*greiðsl(ur|a)"	"til"
"\S*flæðið?"	"til"
"\S+streymið?"	"til"
"\S*nám(i|ið)?"	"til"
"\S*leyfi"	"til"
"\S*bréf(i|ið|inu|s)?"	"til"
"\S*búnað(i|ur)?"	"til"
"efni(ð|n|nu)?"	"til"
"efnivið(ur)?"	"til"
"einkarétt"	"til"
"eyðubl[aö]ð"	"til"
"\S*ferð(ir|inni|um)?"	"til"
"ferðal[aö]g"	"til"
"\S*styrk(ur)?"	"til"
"\S*fé"	"til"
"\S*framl[aö]g"	"til"
"\S*fjármagn"	"til"
"fjármun(ir?|um)"	"til"
"fjárveiting(ar?|um?)?"	"til"
"flugi?"	"til"
"forrit"	"til"
"framboð(i|s|um)?"	"til"
"framl[aö]g(a|ið?|um)?"	"til"
"\S*tilkynning(ar?)?"	"til"
"\S*frumv[aö]rp(ið?|s|in)?"	"til"
"\S*fræðsl[au]"	"til"
"fyrirgreiðsl[au]"	"til"
"fyrirspurn(ir|um)?"	"til"
"gj[aö]f(ir)?"	"til"
"greiðslumark(ið?)?"	"til"
"heimild(ar|ir|um)?"	"til"
"heimsókn(ir|um)?"	"til"
"hráefn(i|um)"	"til"
"hvati"	"til"
"hvatningu?"	"til"
"hæfileika(nn|num|r)?"	"til"
"hæfni"	"til"
"jafnrétti"	"til"
"jarðhita(nn)?"	"til"
"jarðvarma(nn)?"	"til"
"kosning(ar?|um?|unum)?"	"til"
"kvittun(um)?"	"til"
"\S+veiting(ar?|um?)"	"til"
"\S*verði?"	"til"
"rafmagni?"	"til"
"\S*ork[au]?"	"til"
"ritgerð"	"til"
"\S*reki?"	"til"
"siglingar"	"til"
"\S*bótum"	"til"
"\S*bætur"	"til"
"\S*lækkanir"	"til"
"\S*hækkanir"	"til"
"skilaboð(in|um)?"	"til"
"skilyrð(in?|um)"	"til"
"skýrsl(a|um?|unni|ur)"	"til"
"umsókn(ina?|inni|ir|um)?"	"til"
"umsögn"	"til"
"\S*vél(ar|ina|inni)?"	"til"
"\S*tæki"	"til"
"viðhorf(i|ið|in|um)?"	"til"
"atvinnuskírteini"	"til"
"atvinnuréttindi"	"til"
"til"	"\S*leigu"
"til"	"sölu"
"til"	"ræktunar"
"til"	"öryrkja"
"til"	"æfinga"
"til"	"þjálfunar"
"til"	"\S*rannsókna"
"til"	"\S*gerðar(innar)"
"til"	"viðtak[ae]nda"
"til"	"viðskiptavina"
"til"	"vefja"
"til"	"útreikning[as]"
"til"	"útprentunar"
"til"	"\S*láns"
"til"	"útflutnings"
"til"	"úrvinnslu"
"til"	"úrskurðar"
"til"	"upplýsingaöflunar"
"til"	"uppgræðslu"
"til"	"uppbyggingar"
"til"	"undaneldis"
"til"	"tunglsins"
"til"	"tilrauna\S*"
"til"	"starfsfólks"
"til"	"\S*hreinsunar"
"til"	"\S*leyfishafa"
"til"	"slátrunar"
"til"	"\S*ræktar"
"til"	"sjúklinga"
"til"	"\S*ræktunar"
"til"	"nemenda"
"til"	"\S*framleiðslu"
"til"	"\S*eldis"
"til"	"kælingar"
"til"	"\S*iðkunar"
"til"	"inntöku"
"til"	"innheimtu"
"til"	"\S*kaupa"
"til"	"\S*hitunar"
"til"	"\S+nota"
"til"	"heila(ns)?"
"til"	"eldunar"
"til"	"byggingar?"
"til"	"björgunar"
"til"	"birtingar"
"til"	"beitar"
"til"	"\S+vinnslu"
"til"	"aksturs"
"til"	"afleysingar?"
