"\S*aðgerð\S*"	"vegna"
"aðstoð"	"vegna"
"afföll"	"vegna"
"\S*kostnað(ur|i|ar)?"	"vegna"
"alfeysingar"	"vegna"
"afsali?"	"vegna"
"\S*reikning\S*"	"vegna"
"afskriftir"	"vegna"
"\S*afslátt(ur|ar)?"	"vegna"
"\S*gjald[is]?"	"vegna"
"\S*kort"	"vegna"
"afslætti"	"vegna"
"\S*beiðni"	"vegna"
"\S*viðurlög(um)?"	"vegna"
"\S*skilyrðin?"	"vegna"
"\S*m[öa]rk"	"vegna"
"\S*viðmiði?"	"vegna"
"\S*viðbrögð(in|um)?"	"vegna"
"andmæl\S+"	"vegna"
"andstreymi\S*"	"vegna"
"andúð"	"vegna"
"angist"	"vegna"
"athugasemd(ir|um)?"	"vegna"
"\S*greiðsl(a|u|um|ur)"	"vegna"
"\S*leyfi"	"vegna"
"\S*bætur"	"vegna"
"\S*fjárveiting(u|ar)?"	"vegna"
"\S*lán[is]?"	"vegna"
"\S*gjöld"	"vegna"
"aukaverkan(a|ir)"	"vegna"
"aukaverkunum"	"vegna"
"\S*ábyrgð(ar|ir)?"	"vegna"
"\S*trygging(ar|um?)?"	"vegna"
"ágreining(i|ur)?"	"vegna"
"ágreiningsmál\S*"	"vegna"
"\S*áhrif(a|in|um)?"	"vegna"
"áhyggju[rm]"	"vegna"
"á?hætt\S+"	"vegna"
"\S*álag\S*"	"vegna"
"áminning\S*"	"vegna"
"\S*lífeyrir?"	"vegna"
"\S*brot"	"vegna"
"\S*þynning"	"vegna"
"biðlist[ai]"	"vegna"
"björgun"	"vegna"
"\S*rannsókn\S*"	"vegna"
"blygðun"	"vegna"
"\S*t[aö]k[au]"	"vegna"
"\S*blæðing\S*"	"vegna"
"\S*krabbamein\S*"	"vegna"
"\S*bókhald\S*"	"vegna"
"bókun"	"vegna"
"bólusetning\S*"	"vegna"
"\S*bóta\S*"	"vegna"
"\S*krafa"	"vegna"
"\S*kröfur?"	"vegna"
"\S*bótum"	"vegna"
"\S*verk(i|ur|ja)?"	"vegna"
"\S*tjón\S*"	"vegna"
"\S*sekt\S*"	"vegna"
"dauð\S+"	"vegna"
"\S*tíðni"	"vegna"
"\S*skipulagi?"	"vegna"
"\S*deil(a|ur|um)"	"vegna"
"\S*dóm(ar?|i|um|ur)?"	"vegna"
"\S*eftirlit\S*"	"vegna"
"\S*skatt\S*"	"vegna"
"einkenn(i|um)"	"vegna"
"endurhæfing(ar)?"	"vegna"
"erfiðleik(ar|um)"	"vegna"
"eyðubl[aö]ð"	"vegna"
"\S*bólg(a|ur?)"	"vegna"
"fjarver[au]"	"vegna"
"fjarvistir"	"vegna"
"fjárnám"	"vegna"
"\S*styrk(ur)?"	"vegna"
"fjárveiting\S*"	"vegna"
"forföll"	"vegna"
"framl[aö]g\S*"	"vegna"
"frádrátt(ur)?"	"vegna"
"frágang(ur)?"	"vegna"
"\S*frí"	"vegna"
"\S*kvill\S+"	"vegna"
"gjaldskrá"	"vegna"
"\S*greiðslu\S+"	"vegna"
"gremj[au]"	"vegna"
"\S*varðhald\S*"	"vegna"
"hagnað\S*"	"vegna"
"hávað[ia]"	"vegna"
"\S*hjálp\S*"	"vegna"
"\S*áverka"	"vegna"
"kjörskrá"	"vegna"
"kvartanir"	"vegna"
"kvörtun"	"vegna"
"kær(a|ue?)"	"vegna"
"leiðrétting"	"vegna"
"lo[ks]un"	"vegna"
"\S*lyf\S*"	"vegna"
"læknis\S*"	"vegna"
"\S*áætlun"	"vegna"
"málaferli"	"vegna"
"mengun\S*"	"vegna"
"mismunun"	"vegna"
"mótmæl(i|um|a)"	"vegna"
"mæling\S*"	"vegna"
"\S*deyfing"	"vegna"
"neyð\S*"	"vegna"
"ofbeldi"	"vegna"
"ofnæmi\S*"	"vegna"
"ofsókn\S*"	"vegna"
"\S*þörf"	"vegna"
"\S*uppbót"	"vegna"
"\S*uppgjör"	"vegna"
"ónæði"	"vegna"
"ótt(a|i|inn)"	"vegna"
"óviss[au]"	"vegna"
"óþol\S*"	"vegna"
"óþægind(a|i|um)"	"vegna"
"pensilín"	"vegna"
"raski?"	"vegna"
"refsi\S*"	"vegna"
"\S*réttind\S*"	"vegna"
"rift\S*"	"vegna"
"rítalín"	"vegna"
"röskun"	"vegna"
"sársauk(i|inn|a|ann)"	"vegna"
"sjúkdóm\S*"	"vegna"
"skað[ai]\S*"	"vegna"
"skemmd\S*"	"vegna"
"skerðing\S*"	"vegna"
"skuld\S*"	"vegna"
"\S*slys(a|um)?"	"vegna"
"sorg\S*"	"vegna"
"\S*stríð\S*"	"vegna"
"\S*stuðnging\S*"	"vegna"
"\S*sýking\S*"	"vegna"
"tap(ið?)?"	"vegna"
"\S*tekjur"	"vegna"
"\S*kvót(i|a|um)"	"vegna"
"\S*mati?"	"vegna"
"\S*spjöll(um)?"	"vegna"
"umsögn"	"vegna"
"umsagnir"	"vegna"
"umsókn(ir|um|a)?"	"vegna"
"\S*frest\S*"	"vegna"
"undanþág[au]"	"vegna"
"uppgjör[is]"	"vegna"
"uppskurð(i|ur)?"	"vegna"
"\S*úrræð(i|um)"	"vegna"
"úrskurð\S?"	"vegna"
"útboð\S*"	"vegna"
"\S*útk[aö]ll"	"vegna"
"\S*vanda\S*"	"vegna"
"\S*vandi(nn)?"	"vegna"
"vandræð\S*"	"vegna"
"vanlíðan"	"vegna"
"verðlaun\S*"	"vegna"
"viðbrögð(um)?"	"vegna"
"viðbúnað\S*"	"vegna"
"viðmiðun\S*"	"vegna"
"viðvaranir"	"vegna"
"viðvörun"	"vegna"
"vottorð\S*"	"vegna"
"yfirheyrsl(a|ur?)?"	"vegna"
"yfirlið\S*"	"vegna"
"\S*greining\S*"	"vegna"
"þóknun\S*"	"vegna"
"örork[au]\S*"	"vegna"
"öryrk(i|jar?)"	"vegna"
"\S*ráðst[aö]f[au]n\S*"	"vegna"
"\S*leysi"	"vegna"
